Age,Overall,Potential,Special,International_Reputation,Weak_Foot,Skill_Moves,Weight,DIV,HAN,KIC,REF,POS,Best_Overall_Rating,PAC,Preferred_Foot_Right
28,81,83,1286,3.0,3.0,1.0,83.01,79.0,83.0,74.0,81.0,77.0,79.0,52.0,1
28,73,75,1286,1.0,3.0,1.0,79.83,76.0,70.0,74.0,68.0,76.0,72.0,60.5,1
33,78,78,1286,2.0,3.0,1.0,83.91,78.0,75.0,70.0,75.0,81.0,77.0,55.0,1
25,87,90,1285,3.0,4.0,1.0,84.82,86.0,84.0,87.0,84.0,89.0,86.0,44.0,1
22,81,86,1285,1.0,3.0,1.0,77.11,80.0,81.0,78.0,82.0,80.0,80.0,48.5,0
29,74,75,1284,1.0,2.0,1.0,79.83,78.0,71.0,68.0,68.0,77.0,73.0,53.0,1
23,77,81,1283,2.0,3.0,1.0,83.91,78.0,72.0,75.0,78.0,81.0,76.0,46.5,1
30,80,80,1281,2.0,2.0,1.0,86.18,75.0,83.0,80.0,82.0,77.0,79.0,40.5,1
32,72,72,1280,1.0,2.0,1.0,89.81,72.0,69.0,77.0,70.0,71.0,71.0,45.0,1
30,82,82,1280,2.0,2.0,1.0,88.0,80.0,83.0,77.0,83.0,82.0,81.0,55.0,0
34,76,76,1279,2.0,3.0,1.0,73.94,78.0,71.0,72.0,76.0,79.0,75.0,58.0,1
31,81,81,1271,2.0,3.0,1.0,92.08,80.0,79.0,76.0,80.0,83.0,80.0,54.5,1
24,80,84,1270,2.0,3.0,1.0,93.89,82.0,78.0,70.0,75.0,84.0,79.0,53.0,1
24,70,76,1269,1.0,3.0,1.0,84.82,71.0,68.0,73.0,67.0,72.0,69.0,58.0,1
29,80,80,1268,3.0,2.0,1.0,87.09,80.0,74.0,65.0,77.0,84.0,78.0,52.0,1
18,82,93,1266,3.0,3.0,1.0,89.81,88.0,78.0,72.0,78.0,88.0,81.0,50.0,1
27,84,86,1262,3.0,3.0,1.0,89.81,85.0,82.0,74.0,83.0,87.0,83.0,49.0,1
27,76,78,1257,1.0,3.0,1.0,72.12,81.0,72.0,74.0,71.0,77.0,75.0,60.0,1
32,88,88,1254,3.0,2.0,1.0,92.08,87.0,86.0,69.0,89.0,89.0,86.0,53.0,1
30,84,84,1252,3.0,3.0,1.0,92.99,82.0,84.0,77.0,85.0,82.0,82.0,47.5,1
30,80,80,1251,3.0,3.0,1.0,87.09,78.0,76.0,81.0,77.0,82.0,78.0,45.5,1
26,81,84,1250,3.0,2.0,1.0,84.82,86.0,78.0,72.0,76.0,85.0,80.0,49.0,1
32,73,73,1249,1.0,3.0,1.0,77.11,77.0,70.0,69.0,70.0,72.0,72.0,62.5,1
30,78,78,1249,3.0,3.0,1.0,91.17,76.0,76.0,73.0,76.0,81.0,76.0,58.0,1
24,84,89,1248,2.0,3.0,1.0,77.11,81.0,85.0,71.0,79.0,90.0,83.0,56.5,1
34,77,77,1244,2.0,3.0,1.0,83.01,76.0,76.0,65.0,77.0,78.0,76.0,52.5,0
30,78,78,1243,2.0,2.0,1.0,79.83,82.0,75.0,68.0,74.0,83.0,77.0,45.0,1
32,71,71,1235,1.0,2.0,1.0,78.02,71.0,70.0,74.0,70.0,71.0,70.0,47.0,1
25,78,81,1234,2.0,2.0,1.0,87.09,80.0,76.0,68.0,77.0,81.0,77.0,43.0,1
27,73,74,1231,1.0,3.0,1.0,91.17,75.0,73.0,72.0,75.0,69.0,72.0,44.0,0
23,81,86,1231,2.0,3.0,1.0,88.0,78.0,80.0,78.0,81.0,82.0,80.0,51.5,1
35,79,79,1230,2.0,3.0,1.0,79.83,79.0,76.0,72.0,78.0,81.0,78.0,44.5,1
21,72,82,1229,2.0,2.0,1.0,78.02,72.0,68.0,60.0,70.0,80.0,71.0,50.0,1
29,75,75,1228,2.0,2.0,1.0,73.94,75.0,76.0,68.0,74.0,75.0,74.0,42.5,0
33,75,75,1225,1.0,2.0,1.0,76.2,73.0,75.0,77.0,72.0,77.0,74.0,51.0,0
30,80,80,1225,3.0,2.0,1.0,83.01,80.0,81.0,72.0,77.0,80.0,79.0,55.0,1
27,76,77,1223,1.0,2.0,1.0,78.93,76.0,73.0,64.0,77.0,79.0,75.0,57.0,1
25,78,82,1223,1.0,2.0,1.0,81.19,77.0,75.0,65.0,80.0,78.0,77.0,45.0,0
22,82,87,1222,1.0,4.0,1.0,83.01,84.0,80.0,75.0,80.0,84.0,81.0,33.5,1
24,80,84,1221,2.0,3.0,1.0,87.09,83.0,76.0,76.0,77.0,83.0,79.0,53.5,1
24,75,80,1218,1.0,3.0,1.0,84.82,78.0,69.0,63.0,78.0,73.0,74.0,41.5,1
24,65,71,1218,1.0,4.0,1.0,78.02,72.0,62.0,67.0,51.0,73.0,64.0,58.5,1
27,83,84,1217,2.0,3.0,1.0,82.1,82.0,82.0,70.0,82.0,85.0,82.0,49.0,1
20,69,76,1217,1.0,3.0,1.0,74.84,68.0,67.0,64.0,73.0,69.0,68.0,57.0,1
34,74,74,1213,2.0,3.0,1.0,88.0,73.0,73.0,71.0,76.0,73.0,73.0,41.5,1
31,79,79,1212,2.0,3.0,1.0,86.18,80.0,75.0,75.0,79.0,81.0,78.0,48.5,1
29,79,79,1212,1.0,3.0,1.0,92.08,78.0,84.0,71.0,77.0,75.0,78.0,39.5,1
32,82,82,1211,3.0,3.0,1.0,82.1,86.0,80.0,70.0,78.0,83.0,81.0,48.0,1
27,74,77,1208,2.0,2.0,1.0,83.01,75.0,73.0,71.0,73.0,74.0,73.0,54.0,1
19,63,72,1207,1.0,2.0,1.0,78.02,66.0,62.0,59.0,64.0,63.0,62.0,53.0,1
32,80,80,1207,2.0,2.0,1.0,83.01,78.0,83.0,70.0,79.0,84.0,79.0,48.5,1
21,72,79,1206,1.0,2.0,1.0,86.18,74.0,70.0,75.0,69.0,74.0,71.0,51.5,1
33,68,68,1205,2.0,3.0,1.0,84.82,68.0,70.0,69.0,65.0,67.0,67.0,49.5,1
25,78,81,1205,1.0,3.0,1.0,76.2,79.0,78.0,73.0,78.0,79.0,77.0,48.5,1
31,80,80,1202,2.0,3.0,1.0,81.19,80.0,79.0,72.0,77.0,81.0,79.0,39.0,1
40,76,76,1200,2.0,2.0,1.0,76.2,78.0,76.0,66.0,75.0,78.0,75.0,44.0,1
27,75,75,1199,1.0,2.0,1.0,83.91,76.0,70.0,77.0,76.0,79.0,74.0,49.5,1
39,76,76,1199,2.0,3.0,1.0,88.9,76.0,74.0,66.0,82.0,76.0,75.0,50.0,1
35,82,82,1197,3.0,3.0,1.0,88.9,76.0,84.0,76.0,83.0,78.0,80.0,43.0,1
29,72,72,1197,1.0,2.0,1.0,82.1,71.0,72.0,71.0,70.0,72.0,71.0,49.5,1
30,80,80,1196,3.0,2.0,1.0,79.83,81.0,76.0,73.0,79.0,81.0,78.0,50.5,1
28,77,77,1195,2.0,3.0,1.0,78.02,76.0,78.0,77.0,75.0,78.0,76.0,39.0,1
29,79,79,1195,2.0,3.0,1.0,83.91,82.0,75.0,73.0,79.0,82.0,78.0,43.5,1
33,77,77,1195,3.0,3.0,1.0,88.9,76.0,80.0,61.0,79.0,73.0,76.0,43.0,0
33,80,80,1194,2.0,2.0,1.0,78.93,82.0,80.0,64.0,78.0,82.0,79.0,43.5,1
33,73,73,1194,1.0,3.0,1.0,76.2,74.0,76.0,66.0,73.0,70.0,72.0,54.5,1
21,71,83,1194,1.0,3.0,1.0,77.11,70.0,71.0,69.0,67.0,73.0,70.0,48.5,1
28,72,73,1193,1.0,3.0,1.0,88.0,72.0,70.0,80.0,68.0,74.0,71.0,37.5,1
33,73,73,1192,1.0,3.0,1.0,81.19,76.0,74.0,77.0,70.0,69.0,72.0,39.5,1
27,71,73,1191,1.0,3.0,1.0,88.9,73.0,64.0,63.0,70.0,74.0,70.0,52.0,1
21,66,73,1190,1.0,2.0,1.0,78.93,63.0,71.0,64.0,67.0,63.0,65.0,44.5,1
30,78,78,1189,2.0,3.0,1.0,74.84,79.0,73.0,75.0,78.0,81.0,77.0,43.5,1
24,74,80,1189,1.0,2.0,1.0,84.82,76.0,74.0,67.0,73.0,77.0,73.0,40.5,1
28,73,75,1189,2.0,2.0,1.0,84.82,73.0,66.0,66.0,74.0,78.0,72.0,53.5,1
34,73,73,1188,1.0,2.0,1.0,92.08,74.0,71.0,69.0,69.0,77.0,72.0,43.5,1
26,80,81,1184,2.0,4.0,1.0,86.18,79.0,74.0,77.0,82.0,83.0,79.0,48.5,1
21,77,84,1183,1.0,3.0,1.0,69.85,81.0,76.0,73.0,77.0,74.0,76.0,53.0,1
24,76,80,1182,1.0,2.0,1.0,91.17,75.0,77.0,67.0,76.0,78.0,75.0,46.5,1
34,74,74,1182,1.0,3.0,1.0,73.94,74.0,66.0,71.0,73.0,79.0,73.0,44.0,1
35,84,84,1181,4.0,3.0,1.0,89.81,80.0,84.0,72.0,83.0,79.0,81.0,36.5,0
30,82,82,1181,2.0,3.0,1.0,82.1,82.0,83.0,72.0,82.0,82.0,81.0,41.0,1
22,74,83,1181,1.0,3.0,1.0,78.93,78.0,75.0,77.0,70.0,71.0,73.0,43.0,1
33,80,80,1179,2.0,2.0,1.0,83.01,84.0,77.0,81.0,80.0,79.0,79.0,40.0,1
23,72,78,1178,1.0,3.0,1.0,72.12,73.0,68.0,65.0,73.0,74.0,71.0,44.5,1
25,75,78,1177,1.0,2.0,1.0,93.89,70.0,77.0,76.0,78.0,76.0,74.0,37.0,0
18,77,89,1174,2.0,3.0,1.0,82.1,78.0,77.0,71.0,76.0,79.0,76.0,46.5,1
31,83,83,1170,2.0,2.0,1.0,89.81,83.0,84.0,79.0,81.0,85.0,82.0,31.5,0
32,77,77,1170,1.0,2.0,1.0,78.93,78.0,74.0,77.0,76.0,78.0,76.0,42.5,1
29,76,77,1169,2.0,5.0,1.0,92.99,72.0,76.0,64.0,76.0,80.0,75.0,33.5,1
32,72,72,1168,1.0,2.0,1.0,84.82,73.0,70.0,69.0,71.0,77.0,71.0,46.5,1
27,71,72,1165,2.0,2.0,1.0,82.1,76.0,63.0,70.0,65.0,76.0,70.0,39.5,1
38,80,80,1164,2.0,3.0,1.0,84.82,81.0,82.0,66.0,82.0,79.0,79.0,37.0,1
19,71,82,1162,1.0,2.0,1.0,73.94,68.0,68.0,70.0,71.0,74.0,70.0,44.0,1
37,75,75,1162,2.0,3.0,1.0,87.09,75.0,73.0,62.0,77.0,76.0,74.0,38.0,1
29,80,80,1162,2.0,3.0,1.0,88.0,80.0,79.0,78.0,79.0,82.0,79.0,51.0,1
36,71,71,1161,1.0,2.0,1.0,81.19,73.0,71.0,59.0,68.0,74.0,70.0,39.0,1
26,69,73,1158,1.0,2.0,1.0,79.83,78.0,59.0,55.0,66.0,76.0,68.0,59.5,1
26,75,79,1156,1.0,3.0,1.0,78.02,72.0,78.0,73.0,75.0,72.0,74.0,35.5,0
22,70,78,1154,1.0,3.0,1.0,79.83,73.0,59.0,60.0,70.0,76.0,69.0,47.0,1
28,78,78,1154,2.0,3.0,1.0,79.83,83.0,70.0,76.0,75.0,84.0,77.0,34.0,1
24,71,77,1154,1.0,3.0,1.0,79.83,71.0,72.0,70.0,68.0,70.0,70.0,47.0,1
34,74,74,1153,1.0,3.0,1.0,88.9,75.0,75.0,67.0,72.0,74.0,73.0,49.0,1
30,70,70,1151,2.0,2.0,1.0,83.01,67.0,66.0,69.0,70.0,72.0,69.0,50.0,1
29,74,74,1150,1.0,2.0,1.0,78.02,75.0,69.0,79.0,70.0,78.0,73.0,46.0,1
32,67,67,1150,1.0,3.0,1.0,74.84,69.0,72.0,65.0,67.0,59.0,66.0,47.0,1
35,73,73,1149,1.0,3.0,1.0,77.11,75.0,70.0,70.0,75.0,78.0,72.0,50.5,1
38,70,70,1149,1.0,3.0,1.0,78.02,62.0,76.0,60.0,79.0,65.0,69.0,46.5,1
26,73,75,1146,1.0,2.0,1.0,79.83,73.0,76.0,59.0,74.0,72.0,72.0,51.0,0
35,70,70,1143,1.0,3.0,1.0,74.84,69.0,71.0,68.0,71.0,67.0,69.0,45.0,0
23,64,68,1143,1.0,2.0,1.0,78.93,63.0,61.0,58.0,58.0,71.0,63.0,51.5,1
21,71,75,1143,1.0,2.0,1.0,83.91,74.0,70.0,62.0,72.0,70.0,70.0,55.5,0
21,66,74,1142,1.0,3.0,1.0,79.83,68.0,65.0,68.0,65.0,65.0,65.0,53.5,1
29,73,74,1142,1.0,2.0,1.0,86.18,73.0,74.0,60.0,75.0,72.0,72.0,41.5,1
20,64,75,1141,1.0,2.0,1.0,79.83,63.0,64.0,63.0,60.0,66.0,63.0,52.5,0
22,66,71,1141,1.0,3.0,1.0,78.02,70.0,68.0,61.0,58.0,67.0,65.0,54.0,1
26,76,79,1141,2.0,2.0,1.0,83.91,80.0,75.0,54.0,75.0,81.0,75.0,51.0,1
21,67,78,1140,1.0,3.0,1.0,79.83,67.0,63.0,70.0,67.0,69.0,66.0,47.0,1
33,73,73,1139,2.0,3.0,1.0,92.99,74.0,73.0,67.0,70.0,75.0,72.0,41.0,1
21,70,81,1139,1.0,2.0,1.0,84.82,78.0,70.0,74.0,66.0,71.0,69.0,43.5,1
25,73,73,1137,1.0,3.0,1.0,81.19,77.0,71.0,68.0,73.0,74.0,72.0,54.0,1
23,60,65,1137,1.0,2.0,1.0,82.1,62.0,60.0,64.0,57.0,63.0,59.0,47.0,0
34,73,73,1134,2.0,4.0,1.0,92.08,74.0,72.0,76.0,71.0,72.0,72.0,33.0,1
29,68,68,1133,1.0,3.0,1.0,91.17,71.0,64.0,64.0,69.0,69.0,67.0,45.0,1
19,66,79,1132,1.0,3.0,1.0,73.94,70.0,66.0,62.0,64.0,68.0,65.0,62.5,1
19,68,76,1132,1.0,3.0,1.0,79.83,69.0,68.0,68.0,68.0,69.0,67.0,37.0,1
27,74,75,1131,1.0,2.0,1.0,89.81,78.0,69.0,75.0,70.0,77.0,73.0,48.0,1
26,78,80,1131,2.0,3.0,1.0,84.82,77.0,76.0,74.0,77.0,81.0,77.0,43.0,1
23,68,76,1131,1.0,3.0,1.0,76.2,68.0,65.0,60.0,68.0,71.0,67.0,43.0,0
25,63,66,1130,1.0,2.0,1.0,78.02,63.0,62.0,57.0,60.0,65.0,62.0,55.0,1
27,83,83,1130,2.0,3.0,1.0,79.83,84.0,79.0,68.0,81.0,88.0,82.0,41.0,1
24,74,79,1129,1.0,2.0,1.0,89.81,77.0,74.0,61.0,69.0,79.0,73.0,36.0,1
26,74,77,1129,1.0,2.0,1.0,74.84,73.0,75.0,61.0,71.0,79.0,73.0,47.5,0
36,76,76,1127,2.0,3.0,1.0,88.9,69.0,78.0,79.0,85.0,70.0,75.0,32.5,1
22,63,73,1127,1.0,3.0,1.0,79.83,59.0,64.0,54.0,67.0,62.0,62.0,48.0,1
20,60,70,1125,1.0,3.0,1.0,74.84,67.0,57.0,56.0,58.0,59.0,59.0,56.5,1
24,70,78,1125,1.0,3.0,1.0,88.0,70.0,69.0,63.0,67.0,73.0,69.0,43.5,1
25,70,74,1125,1.0,2.0,1.0,82.1,70.0,65.0,65.0,72.0,68.0,69.0,41.0,1
23,74,84,1124,1.0,2.0,1.0,78.02,82.0,70.0,54.0,74.0,80.0,73.0,39.0,1
20,61,73,1123,1.0,3.0,1.0,86.18,59.0,63.0,64.0,51.0,70.0,60.0,47.5,1
22,79,89,1123,1.0,2.0,1.0,78.02,81.0,75.0,73.0,75.0,86.0,78.0,43.5,1
27,71,72,1123,1.0,3.0,1.0,92.99,74.0,66.0,58.0,72.0,73.0,70.0,37.5,1
29,69,70,1122,1.0,2.0,1.0,73.94,70.0,67.0,68.0,70.0,72.0,68.0,48.5,1
32,71,71,1122,1.0,3.0,1.0,82.1,70.0,68.0,66.0,72.0,71.0,70.0,38.0,1
25,74,75,1121,1.0,1.0,1.0,79.83,78.0,73.0,62.0,69.0,77.0,73.0,48.5,1
34,65,65,1119,1.0,3.0,1.0,86.18,67.0,58.0,64.0,65.0,70.0,64.0,52.0,1
23,70,76,1119,1.0,2.0,1.0,83.91,70.0,68.0,62.0,70.0,72.0,69.0,42.0,1
29,64,64,1116,1.0,3.0,1.0,89.81,67.0,59.0,59.0,62.0,68.0,63.0,48.0,1
27,75,77,1116,1.0,3.0,1.0,82.1,76.0,74.0,62.0,72.0,79.0,74.0,51.5,1
28,79,79,1115,2.0,3.0,1.0,83.91,79.0,72.0,65.0,78.0,85.0,78.0,40.5,1
36,71,71,1112,1.0,2.0,1.0,76.2,71.0,68.0,60.0,72.0,72.0,70.0,43.0,0
25,76,78,1110,1.0,3.0,1.0,83.01,76.0,77.0,71.0,70.0,79.0,75.0,37.0,1
28,68,68,1109,1.0,3.0,1.0,87.09,71.0,69.0,58.0,65.0,69.0,67.0,56.0,1
37,64,64,1109,1.0,1.0,1.0,83.01,57.0,60.0,65.0,70.0,60.0,63.0,35.0,1
31,67,67,1108,1.0,1.0,1.0,74.84,65.0,66.0,63.0,68.0,66.0,66.0,49.0,1
27,72,74,1108,1.0,2.0,1.0,79.83,70.0,72.0,66.0,71.0,74.0,71.0,31.0,1
23,67,75,1108,1.0,4.0,1.0,84.82,67.0,65.0,61.0,67.0,69.0,66.0,43.5,1
25,64,64,1107,1.0,2.0,1.0,83.01,62.0,62.0,67.0,62.0,61.0,63.0,45.0,0
18,63,77,1106,1.0,2.0,1.0,79.83,60.0,61.0,63.0,59.0,64.0,62.0,43.0,1
30,72,72,1106,1.0,3.0,1.0,84.82,75.0,67.0,61.0,72.0,75.0,71.0,44.0,1
19,64,76,1106,1.0,3.0,1.0,84.82,67.0,60.0,58.0,59.0,70.0,63.0,51.5,1
33,74,74,1105,1.0,2.0,1.0,81.19,75.0,72.0,64.0,75.0,75.0,73.0,39.5,1
26,80,84,1104,2.0,3.0,1.0,78.02,80.0,76.0,79.0,80.0,82.0,79.0,42.0,0
25,72,74,1104,1.0,2.0,1.0,82.1,73.0,70.0,66.0,70.0,74.0,71.0,49.0,1
29,69,69,1103,1.0,3.0,1.0,84.82,71.0,68.0,64.0,67.0,71.0,68.0,43.0,1
20,68,82,1100,1.0,3.0,1.0,84.82,72.0,69.0,62.0,61.0,71.0,67.0,47.0,1
21,63,74,1100,1.0,3.0,1.0,92.08,67.0,57.0,56.0,57.0,71.0,62.0,51.0,1
21,62,68,1100,1.0,3.0,1.0,72.12,58.0,64.0,51.0,59.0,63.0,61.0,37.5,1
27,69,71,1099,1.0,2.0,1.0,88.9,66.0,65.0,69.0,72.0,74.0,68.0,37.0,1
24,60,65,1099,1.0,3.0,1.0,73.94,65.0,55.0,52.0,58.0,62.0,59.0,56.5,1
37,72,72,1099,2.0,3.0,1.0,92.99,73.0,70.0,60.0,72.0,74.0,71.0,39.0,1
27,72,72,1099,1.0,1.0,1.0,84.82,74.0,68.0,65.0,70.0,76.0,71.0,51.0,1
30,70,70,1098,1.0,2.0,1.0,86.18,69.0,72.0,63.0,69.0,70.0,69.0,28.5,1
25,63,66,1098,1.0,2.0,1.0,86.18,67.0,64.0,67.0,61.0,63.0,62.0,45.5,1
32,69,69,1098,1.0,2.0,1.0,82.1,68.0,65.0,60.0,70.0,71.0,68.0,37.0,1
32,68,68,1097,1.0,3.0,1.0,86.18,68.0,67.0,60.0,68.0,69.0,67.0,46.0,0
23,70,75,1094,1.0,2.0,1.0,79.83,71.0,68.0,59.0,67.0,73.0,69.0,43.0,1
30,76,76,1093,1.0,2.0,1.0,82.1,78.0,74.0,74.0,76.0,78.0,75.0,45.0,1
34,75,75,1093,2.0,3.0,1.0,86.18,78.0,74.0,65.0,76.0,74.0,74.0,36.0,0
31,68,68,1092,1.0,2.0,1.0,88.0,70.0,70.0,65.0,66.0,70.0,67.0,51.5,1
23,70,76,1092,1.0,3.0,1.0,91.17,72.0,66.0,62.0,67.0,72.0,69.0,30.5,1
22,62,70,1090,1.0,3.0,1.0,81.19,60.0,58.0,54.0,60.0,65.0,61.0,43.5,1
28,67,69,1089,1.0,4.0,1.0,73.03,67.0,67.0,65.0,67.0,67.0,66.0,27.5,1
33,65,65,1089,1.0,2.0,1.0,88.9,69.0,67.0,66.0,63.0,63.0,64.0,45.0,1
24,70,73,1088,1.0,2.0,1.0,87.09,70.0,67.0,66.0,70.0,74.0,69.0,44.5,1
21,67,76,1087,1.0,4.0,1.0,78.93,68.0,66.0,71.0,64.0,70.0,66.0,41.5,1
30,73,73,1085,2.0,3.0,1.0,89.81,71.0,76.0,81.0,75.0,69.0,72.0,40.5,1
28,75,76,1084,1.0,2.0,1.0,88.0,74.0,77.0,67.0,71.0,77.0,74.0,31.5,1
27,72,74,1084,1.0,3.0,1.0,92.99,73.0,72.0,60.0,71.0,74.0,71.0,48.0,1
23,64,71,1083,1.0,2.0,1.0,82.1,68.0,59.0,63.0,61.0,64.0,63.0,43.0,1
28,66,67,1083,1.0,2.0,1.0,82.1,66.0,66.0,59.0,63.0,69.0,65.0,39.5,1
29,70,70,1083,1.0,3.0,1.0,92.08,70.0,66.0,66.0,69.0,71.0,69.0,54.0,1
20,68,82,1083,1.0,2.0,1.0,79.83,73.0,64.0,61.0,63.0,77.0,67.0,52.0,1
26,68,72,1082,1.0,3.0,1.0,83.01,69.0,68.0,68.0,69.0,67.0,67.0,35.0,1
34,73,73,1081,2.0,2.0,1.0,86.18,75.0,72.0,68.0,73.0,74.0,72.0,31.0,0
21,68,79,1081,1.0,2.0,1.0,89.81,70.0,66.0,61.0,70.0,70.0,67.0,41.5,1
28,78,78,1081,2.0,2.0,1.0,92.08,79.0,76.0,67.0,78.0,81.0,77.0,28.0,0
38,72,72,1081,1.0,3.0,1.0,79.83,74.0,69.0,67.0,68.0,73.0,71.0,42.5,1
24,65,70,1079,1.0,2.0,1.0,79.83,66.0,63.0,61.0,62.0,69.0,64.0,50.0,0
34,68,68,1078,1.0,3.0,1.0,73.03,70.0,64.0,65.0,66.0,70.0,67.0,30.0,1
33,64,64,1078,1.0,2.0,1.0,87.09,64.0,58.0,56.0,65.0,66.0,63.0,44.0,1
35,76,76,1078,2.0,3.0,1.0,79.83,77.0,72.0,63.0,76.0,79.0,75.0,37.0,0
23,66,72,1078,1.0,2.0,1.0,91.17,64.0,66.0,65.0,69.0,67.0,65.0,39.5,1
30,65,65,1077,1.0,3.0,1.0,89.81,65.0,61.0,65.0,64.0,66.0,64.0,32.5,1
22,65,72,1073,1.0,2.0,1.0,69.85,64.0,64.0,66.0,66.0,66.0,64.0,50.5,1
22,62,67,1073,1.0,2.0,1.0,77.11,64.0,61.0,61.0,57.0,62.0,61.0,46.0,1
20,61,74,1071,1.0,3.0,1.0,91.17,63.0,60.0,60.0,57.0,62.0,60.0,45.0,1
24,71,74,1070,1.0,2.0,1.0,88.0,73.0,73.0,61.0,66.0,73.0,70.0,45.0,1
37,68,68,1069,2.0,3.0,1.0,84.82,66.0,66.0,66.0,68.0,67.0,67.0,40.5,1
30,72,72,1068,2.0,3.0,1.0,96.16,71.0,66.0,73.0,72.0,73.0,71.0,40.5,1
33,69,69,1067,1.0,3.0,1.0,81.19,69.0,68.0,64.0,67.0,70.0,68.0,41.0,1
24,66,69,1067,1.0,3.0,1.0,78.02,69.0,64.0,64.0,67.0,67.0,65.0,41.0,1
18,63,80,1066,1.0,2.0,1.0,81.19,63.0,61.0,60.0,62.0,65.0,62.0,45.0,1
23,66,74,1066,1.0,3.0,1.0,81.19,68.0,64.0,61.0,64.0,70.0,65.0,44.5,0
25,62,65,1065,1.0,3.0,1.0,84.82,65.0,62.0,58.0,59.0,61.0,61.0,45.5,1
20,60,69,1064,1.0,2.0,1.0,79.83,61.0,56.0,46.0,64.0,61.0,59.0,38.0,1
27,69,69,1062,1.0,2.0,1.0,84.82,75.0,65.0,54.0,64.0,75.0,68.0,42.0,0
23,62,68,1061,1.0,2.0,1.0,84.82,60.0,61.0,63.0,61.0,64.0,61.0,38.5,0
36,64,64,1059,1.0,2.0,1.0,84.82,63.0,64.0,63.0,64.0,62.0,63.0,31.5,1
27,70,70,1058,1.0,3.0,1.0,78.02,70.0,68.0,67.0,70.0,69.0,69.0,45.5,1
29,72,72,1058,1.0,2.0,1.0,81.19,72.0,70.0,75.0,71.0,74.0,71.0,28.0,1
26,65,66,1055,1.0,2.0,1.0,81.19,66.0,61.0,61.0,65.0,70.0,64.0,49.5,1
29,69,69,1054,1.0,4.0,1.0,82.1,67.0,73.0,66.0,70.0,66.0,68.0,47.0,1
20,64,70,1054,1.0,2.0,1.0,78.02,68.0,56.0,58.0,60.0,72.0,63.0,45.0,1
25,65,70,1053,1.0,3.0,1.0,87.09,65.0,64.0,62.0,61.0,66.0,64.0,43.0,0
